author,report_url,internetarchive_url,date
Clipnews,https://www.clipnews.gr/coronavirus-report-by-clip-news-19-03-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-by-clip-news-19-03-2020/,2020-03-19
Clipnews,https://www.clipnews.gr/coronavirus-report-20-03-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-20-03-2020/,2020-03-20
Clipnews,https://www.clipnews.gr/coronavirus-report-21-03-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-21-03-2020-2/,2020-03-21
Clipnews,https://www.clipnews.gr/coronavirus-report-22-03-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-22-03-2020/,2020-03-22
Clipnews,https://www.clipnews.gr/coronavirus-report-23-03-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-23-03-2020-2/,2020-03-23
Clipnews,https://www.clipnews.gr/coronavirus-report-24-03-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-24-03-2020-2/,2020-03-24
Clipnews,https://www.clipnews.gr/coronavirus-report-25-03-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-25-03-2020/,2020-03-25
Clipnews,https://www.clipnews.gr/coronavirus-report-26-03-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-26-03-2020-2/,2020-03-26
Clipnews,https://www.clipnews.gr/coronavirus-report-27-03-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-27-03-2020/,2020-03-27
Clipnews,https://www.clipnews.gr/coronavirus-report-28-03-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-28-03-2020-2/,2020-03-28
Clipnews,https://www.clipnews.gr/coronavirus-report-29-03-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-29-03-2020/,2020-03-29
Clipnews,https://www.clipnews.gr/coronavirus-report-30-03-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-30-03-2020-2/,2020-03-30
Clipnews,https://www.clipnews.gr/coronavirus-report-31-03-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-31-03-2020/,2020-03-31
Clipnews,https://www.clipnews.gr/coronavirus-report-01-04-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-01-04-2020-2/,2020-04-01
Clipnews,https://www.clipnews.gr/coronavirus-report-02-04-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-02-04-2020/,2020-04-02
Clipnews,https://www.clipnews.gr/coronavirus-report-03-04-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-03-04-2020-2/,2020-04-03
Clipnews,https://www.clipnews.gr/coronavirus-report-04-04-2020/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-04-04-2020/,2020-04-04
Clipnews,https://www.clipnews.gr/coronavirus-report-05-04-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-05-04-2020-2/,2020-04-05
Clipnews,https://www.clipnews.gr/coronavirus-report-06-04-2020-2/,https://web.archive.org/web/*/https://www.clipnews.gr/coronavirus-report-06-04-2020-2/,2020-04-06
