area,areaid,dailydose1,dailydose2,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totalvaccinations
ΚΟΡΙΝΘΙΑΣ,1003,0,0,0,0,2021-01-11T00:00:00,280,280,0,280
ΚΩ,1206,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΛΑΚΩΝΙΑΣ,1004,15,0,15,15,2021-01-11T00:00:00,399,399,0,399
ΛΑΡΙΣΑΣ,502,35,0,-15,35,2021-01-11T00:00:00,1566,1566,0,1566
ΛΑΣΙΘΙΟΥ,1302,54,0,-31,54,2021-01-11T00:00:00,418,418,0,418
ΛΕΣΒΟΥ,1102,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΛΕΥΚΑΔΑΣ,605,30,0,30,30,2021-01-11T00:00:00,30,30,0,30
ΛΗΜΝΟΥ,1103,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΜΑΓΝΗΣΙΑΣ,503,120,0,40,120,2021-01-11T00:00:00,389,389,0,389
ΜΕΣΣΗΝΙΑΣ,1005,25,0,-122,25,2021-01-11T00:00:00,560,560,0,560
ΜΗΛΟΥ,1207,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΜΥΚΟΝΟΥ,1208,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΝΑΞΟΥ,1209,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΝΗΣΩΝ,906,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,25,0,25,25,2021-01-11T00:00:00,25,25,0,25
ΞΑΝΘΗΣ,105,120,0,15,120,2021-01-11T00:00:00,455,455,0,455
ΠΑΡΟΥ,1210,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΠΕΙΡΑΙΩΣ,908,55,0,-180,55,2021-01-11T00:00:00,1589,1589,0,1589
ΠΕΛΛΑΣ,204,15,0,-5,15,2021-01-11T00:00:00,525,525,0,525
ΠΙΕΡΙΑΣ,205,25,0,20,25,2021-01-11T00:00:00,353,353,0,353
ΠΡΕΒΕΖΑΣ,404,15,0,-65,15,2021-01-11T00:00:00,320,320,0,320
ΡΕΘΥΜΝΟΥ,1303,70,0,20,70,2021-01-11T00:00:00,220,220,0,220
ΡΟΔΟΠΗΣ,106,50,0,0,50,2021-01-11T00:00:00,200,200,0,200
ΡΟΔΟΥ,1211,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΣΑΜΟΥ,1104,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΣΕΡΡΩΝ,206,100,0,0,100,2021-01-11T00:00:00,400,400,0,400
ΣΠΟΡΑΔΩΝ,504,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΣΥΡΟΥ,1212,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΤΗΝΟΥ,1213,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΤΡΙΚΑΛΩΝ,505,25,0,-30,25,2021-01-11T00:00:00,620,620,0,620
ΦΘΙΩΤΙΔΑΣ,804,105,0,5,105,2021-01-11T00:00:00,490,490,0,490
ΦΛΩΡΙΝΑΣ,304,43,0,-17,43,2021-01-11T00:00:00,241,241,0,241
ΦΩΚΙΔΑΣ,805,5,0,-5,5,2021-01-11T00:00:00,105,105,0,105
ΧΑΛΚΙΔΙΚΗΣ,207,75,0,20,75,2021-01-11T00:00:00,245,245,0,245
ΧΑΝΙΩΝ,1304,39,0,4,39,2021-01-11T00:00:00,929,929,0,929
ΧΙΟΥ,1105,0,0,0,0,2021-01-11T00:00:00,0,0,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,55,0,-85,55,2021-01-12T00:00:00,690,690,0,690
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,0,0,0,0,2021-01-12T00:00:00,707,707,0,707
ΑΝΔΡΟΥ,1201,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,-25,0,2021-01-12T00:00:00,260,260,0,260
ΑΡΚΑΔΙΑΣ,1002,0,0,-30,0,2021-01-12T00:00:00,485,485,0,485
ΑΡΤΑΣ,401,84,0,33,84,2021-01-12T00:00:00,535,535,0,535
ΑΧΑΪΑΣ,702,105,0,95,105,2021-01-12T00:00:00,1766,1766,0,1766
ΒΟΙΩΤΙΑΣ,801,10,0,-70,10,2021-01-12T00:00:00,360,360,0,360
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,1248,0,338,1248,2021-01-12T00:00:00,5538,5538,0,5538
ΓΡΕΒΕΝΩΝ,301,15,0,-30,15,2021-01-12T00:00:00,195,195,0,195
ΔΡΑΜΑΣ,101,0,0,-65,0,2021-01-12T00:00:00,375,375,0,375
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,25,0,2,25,2021-01-12T00:00:00,472,472,0,472
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,25,0,-239,25,2021-01-12T00:00:00,2313,2313,0,2313
ΕΒΡΟΥ,102,164,0,21,164,2021-01-12T00:00:00,694,694,0,694
ΕΥΒΟΙΑΣ,802,60,0,-5,60,2021-01-12T00:00:00,575,575,0,575
ΕΥΡΥΤΑΝΙΑΣ,803,25,0,5,25,2021-01-12T00:00:00,145,145,0,145
ΖΑΚΥΝΘΟΥ,601,50,0,50,50,2021-01-12T00:00:00,50,50,0,50
ΗΛΕΙΑΣ,703,0,0,-55,0,2021-01-12T00:00:00,515,515,0,515
ΗΜΑΘΙΑΣ,201,15,0,-45,15,2021-01-12T00:00:00,574,574,0,574
ΗΡΑΚΛΕΙΟΥ,1301,229,0,6,229,2021-01-12T00:00:00,1608,1608,0,1608
ΘΑΣΟΥ,103,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,0,0,2021-01-12T00:00:00,225,225,0,225
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,735,0,154,735,2021-01-12T00:00:00,7314,7314,0,7314
ΘΗΡΑΣ,1202,15,0,10,15,2021-01-12T00:00:00,20,20,0,20
ΙΘΑΚΗΣ,602,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΙΚΑΡΙΑΣ,1101,25,0,25,25,2021-01-12T00:00:00,25,25,0,25
ΙΩΑΝΝΙΝΩΝ,403,180,0,0,180,2021-01-12T00:00:00,2103,2103,0,2103
ΚΑΒΑΛΑΣ,104,65,0,-55,65,2021-01-12T00:00:00,525,525,0,525
ΚΑΛΥΜΝΟΥ,1203,10,0,10,10,2021-01-12T00:00:00,10,10,0,10
ΚΑΡΔΙΤΣΑΣ,501,0,0,0,0,2021-01-12T00:00:00,544,544,0,544
ΚΑΡΠΑΘΟΥ,1204,10,0,10,10,2021-01-12T00:00:00,10,10,0,10
ΚΑΣΤΟΡΙΑΣ,302,40,0,-5,40,2021-01-12T00:00:00,239,239,0,239
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,1437,0,418,1437,2021-01-12T00:00:00,14493,14493,0,14493
ΚΕΡΚΥΡΑΣ,603,100,0,35,100,2021-01-12T00:00:00,165,165,0,165
ΚΕΦΑΛΛΗΝΙΑΣ,604,90,0,70,90,2021-01-12T00:00:00,110,110,0,110
ΚΙΛΚΙΣ,203,40,0,-20,40,2021-01-12T00:00:00,305,305,0,305
ΚΟΖΑΝΗΣ,303,35,0,-15,35,2021-01-12T00:00:00,633,633,0,633
ΚΟΡΙΝΘΙΑΣ,1003,10,0,10,10,2021-01-12T00:00:00,290,290,0,290
ΚΩ,1206,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,-15,0,2021-01-12T00:00:00,399,399,0,399
ΛΑΡΙΣΑΣ,502,115,0,80,115,2021-01-12T00:00:00,1681,1681,0,1681
ΛΑΣΙΘΙΟΥ,1302,50,0,-4,50,2021-01-12T00:00:00,468,468,0,468
ΛΕΣΒΟΥ,1102,70,0,70,70,2021-01-12T00:00:00,70,70,0,70
ΛΕΥΚΑΔΑΣ,605,50,0,20,50,2021-01-12T00:00:00,80,80,0,80
ΛΗΜΝΟΥ,1103,43,0,43,43,2021-01-12T00:00:00,43,43,0,43
ΜΑΓΝΗΣΙΑΣ,503,135,0,15,135,2021-01-12T00:00:00,524,524,0,524
ΜΕΣΣΗΝΙΑΣ,1005,0,0,-25,0,2021-01-12T00:00:00,560,560,0,560
ΜΗΛΟΥ,1207,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΜΥΚΟΝΟΥ,1208,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΝΑΞΟΥ,1209,35,0,35,35,2021-01-12T00:00:00,35,35,0,35
ΝΗΣΩΝ,906,25,0,25,25,2021-01-12T00:00:00,25,25,0,25
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,89,0,64,89,2021-01-12T00:00:00,114,114,0,114
ΞΑΝΘΗΣ,105,30,0,-90,30,2021-01-12T00:00:00,485,485,0,485
ΠΑΡΟΥ,1210,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΠΕΙΡΑΙΩΣ,908,241,0,186,241,2021-01-12T00:00:00,1830,1830,0,1830
ΠΕΛΛΑΣ,204,0,0,-15,0,2021-01-12T00:00:00,525,525,0,525
ΠΙΕΡΙΑΣ,205,20,0,-5,20,2021-01-12T00:00:00,373,373,0,373
ΠΡΕΒΕΖΑΣ,404,0,0,-15,0,2021-01-12T00:00:00,320,320,0,320
ΡΕΘΥΜΝΟΥ,1303,80,0,10,80,2021-01-12T00:00:00,300,300,0,300
ΡΟΔΟΠΗΣ,106,60,0,10,60,2021-01-12T00:00:00,260,260,0,260
ΡΟΔΟΥ,1211,110,0,110,110,2021-01-12T00:00:00,110,110,0,110
ΣΑΜΟΥ,1104,60,0,60,60,2021-01-12T00:00:00,60,60,0,60
ΣΕΡΡΩΝ,206,110,0,10,110,2021-01-12T00:00:00,510,510,0,510
ΣΠΟΡΑΔΩΝ,504,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΣΥΡΟΥ,1212,50,0,50,50,2021-01-12T00:00:00,50,50,0,50
ΤΗΝΟΥ,1213,0,0,0,0,2021-01-12T00:00:00,0,0,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,-25,0,2021-01-12T00:00:00,620,620,0,620
ΦΘΙΩΤΙΔΑΣ,804,85,0,-20,85,2021-01-12T00:00:00,575,575,0,575
ΦΛΩΡΙΝΑΣ,304,0,0,-43,0,2021-01-12T00:00:00,241,241,0,241
ΦΩΚΙΔΑΣ,805,0,0,-5,0,2021-01-12T00:00:00,105,105,0,105
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,-75,0,2021-01-12T00:00:00,245,245,0,245
ΧΑΝΙΩΝ,1304,0,0,-39,0,2021-01-12T00:00:00,929,929,0,929
ΧΙΟΥ,1105,70,0,70,70,2021-01-12T00:00:00,70,70,0,70
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,49,0,-6,49,2021-01-13T00:00:00,739,739,0,739
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,0,0,0,0,2021-01-13T00:00:00,707,707,0,707
ΑΝΔΡΟΥ,1201,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,0,0,2021-01-13T00:00:00,260,260,0,260
ΑΡΚΑΔΙΑΣ,1002,10,0,10,10,2021-01-13T00:00:00,495,495,0,495
ΑΡΤΑΣ,401,30,0,-54,30,2021-01-13T00:00:00,565,565,0,565
ΑΧΑΪΑΣ,702,189,0,84,189,2021-01-13T00:00:00,1955,1955,0,1955
ΒΟΙΩΤΙΑΣ,801,0,0,-10,0,2021-01-13T00:00:00,360,360,0,360
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,2468,0,1220,2468,2021-01-13T00:00:00,8006,8006,0,8006
ΓΡΕΒΕΝΩΝ,301,0,0,-15,0,2021-01-13T00:00:00,195,195,0,195
ΔΡΑΜΑΣ,101,0,0,0,0,2021-01-13T00:00:00,375,375,0,375
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,35,0,10,35,2021-01-13T00:00:00,507,507,0,507
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,90,0,65,90,2021-01-13T00:00:00,2403,2403,0,2403
ΕΒΡΟΥ,102,141,0,-23,141,2021-01-13T00:00:00,835,835,0,835
ΕΥΒΟΙΑΣ,802,0,0,-60,0,2021-01-13T00:00:00,575,575,0,575
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,-25,0,2021-01-13T00:00:00,145,145,0,145
ΖΑΚΥΝΘΟΥ,601,50,0,0,50,2021-01-13T00:00:00,100,100,0,100
ΗΛΕΙΑΣ,703,0,0,0,0,2021-01-13T00:00:00,515,515,0,515
ΗΜΑΘΙΑΣ,201,30,0,15,30,2021-01-13T00:00:00,604,604,0,604
ΗΡΑΚΛΕΙΟΥ,1301,214,0,-15,214,2021-01-13T00:00:00,1822,1822,0,1822
ΘΑΣΟΥ,103,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,0,0,2021-01-13T00:00:00,225,225,0,225
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,1209,0,474,1209,2021-01-13T00:00:00,8523,8523,0,8523
ΘΗΡΑΣ,1202,0,0,-15,0,2021-01-13T00:00:00,20,20,0,20
ΙΘΑΚΗΣ,602,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΙΚΑΡΙΑΣ,1101,5,0,-20,5,2021-01-13T00:00:00,30,30,0,30
ΙΩΑΝΝΙΝΩΝ,403,100,0,-80,100,2021-01-13T00:00:00,2203,2203,0,2203
ΚΑΒΑΛΑΣ,104,55,0,-10,55,2021-01-13T00:00:00,580,580,0,580
ΚΑΛΥΜΝΟΥ,1203,88,0,78,88,2021-01-13T00:00:00,98,98,0,98
ΚΑΡΔΙΤΣΑΣ,501,0,0,0,0,2021-01-13T00:00:00,544,544,0,544
ΚΑΡΠΑΘΟΥ,1204,5,0,-5,5,2021-01-13T00:00:00,15,15,0,15
ΚΑΣΤΟΡΙΑΣ,302,37,0,-3,37,2021-01-13T00:00:00,276,276,0,276
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,1580,0,143,1580,2021-01-13T00:00:00,16073,16073,0,16073
ΚΕΡΚΥΡΑΣ,603,35,0,-65,35,2021-01-13T00:00:00,200,200,0,200
ΚΕΦΑΛΛΗΝΙΑΣ,604,65,0,-25,65,2021-01-13T00:00:00,175,175,0,175
ΚΙΛΚΙΣ,203,0,0,-40,0,2021-01-13T00:00:00,305,305,0,305
ΚΟΖΑΝΗΣ,303,40,0,5,40,2021-01-13T00:00:00,673,673,0,673
ΚΟΡΙΝΘΙΑΣ,1003,10,0,0,10,2021-01-13T00:00:00,300,300,0,300
ΚΩ,1206,45,0,45,45,2021-01-13T00:00:00,45,45,0,45
ΛΑΚΩΝΙΑΣ,1004,0,0,0,0,2021-01-13T00:00:00,399,399,0,399
ΛΑΡΙΣΑΣ,502,30,0,-85,30,2021-01-13T00:00:00,1711,1711,0,1711
ΛΑΣΙΘΙΟΥ,1302,41,0,-9,41,2021-01-13T00:00:00,509,509,0,509
ΛΕΣΒΟΥ,1102,85,0,15,85,2021-01-13T00:00:00,155,155,0,155
ΛΕΥΚΑΔΑΣ,605,15,0,-35,15,2021-01-13T00:00:00,95,95,0,95
ΛΗΜΝΟΥ,1103,64,0,21,64,2021-01-13T00:00:00,107,107,0,107
ΜΑΓΝΗΣΙΑΣ,503,59,0,-76,59,2021-01-13T00:00:00,583,583,0,583
ΜΕΣΣΗΝΙΑΣ,1005,0,0,0,0,2021-01-13T00:00:00,560,560,0,560
ΜΗΛΟΥ,1207,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΜΥΚΟΝΟΥ,1208,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΝΑΞΟΥ,1209,0,0,-35,0,2021-01-13T00:00:00,35,35,0,35
ΝΗΣΩΝ,906,0,0,-25,0,2021-01-13T00:00:00,25,25,0,25
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,431,0,342,431,2021-01-13T00:00:00,545,545,0,545
ΞΑΝΘΗΣ,105,15,0,-15,15,2021-01-13T00:00:00,500,500,0,500
ΠΑΡΟΥ,1210,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΠΕΙΡΑΙΩΣ,908,602,0,361,602,2021-01-13T00:00:00,2432,2432,0,2432
ΠΕΛΛΑΣ,204,0,0,0,0,2021-01-13T00:00:00,525,525,0,525
ΠΙΕΡΙΑΣ,205,10,0,-10,10,2021-01-13T00:00:00,383,383,0,383
ΠΡΕΒΕΖΑΣ,404,0,0,0,0,2021-01-13T00:00:00,320,320,0,320
ΡΕΘΥΜΝΟΥ,1303,65,0,-15,65,2021-01-13T00:00:00,365,365,0,365
ΡΟΔΟΠΗΣ,106,35,0,-25,35,2021-01-13T00:00:00,295,295,0,295
ΡΟΔΟΥ,1211,115,0,5,115,2021-01-13T00:00:00,225,225,0,225
ΣΑΜΟΥ,1104,50,0,-10,50,2021-01-13T00:00:00,110,110,0,110
ΣΕΡΡΩΝ,206,90,0,-20,90,2021-01-13T00:00:00,600,600,0,600
ΣΠΟΡΑΔΩΝ,504,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΣΥΡΟΥ,1212,50,0,0,50,2021-01-13T00:00:00,100,100,0,100
ΤΗΝΟΥ,1213,0,0,0,0,2021-01-13T00:00:00,0,0,0,0
ΤΡΙΚΑΛΩΝ,505,15,0,15,15,2021-01-13T00:00:00,635,635,0,635
ΦΘΙΩΤΙΔΑΣ,804,40,0,-45,40,2021-01-13T00:00:00,615,615,0,615
ΦΛΩΡΙΝΑΣ,304,0,0,0,0,2021-01-13T00:00:00,241,241,0,241
ΦΩΚΙΔΑΣ,805,0,0,0,0,2021-01-13T00:00:00,105,105,0,105
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,0,0,2021-01-13T00:00:00,245,245,0,245
ΧΑΝΙΩΝ,1304,0,0,0,0,2021-01-13T00:00:00,929,929,0,929
ΧΙΟΥ,1105,65,0,-5,65,2021-01-13T00:00:00,135,135,0,135
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,341,115,-42,456,2021-03-04T00:00:00,8444,8444,3544,11988
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,783,166,-20,949,2021-03-04T00:00:00,16275,16275,8900,25175
ΑΝΔΡΟΥ,1201,0,0,0,0,2021-03-04T00:00:00,297,297,261,558
ΑΡΓΟΛΙΔΑΣ,1001,191,15,-13,206,2021-03-04T00:00:00,5255,5255,2791,8046
ΑΡΚΑΔΙΑΣ,1002,174,14,-26,188,2021-03-04T00:00:00,5238,5238,2713,7951
ΑΡΤΑΣ,401,114,27,-10,141,2021-03-04T00:00:00,4276,4276,2888,7164
ΑΧΑΪΑΣ,702,582,41,-117,623,2021-03-04T00:00:00,15018,15018,9404,24422
ΒΟΙΩΤΙΑΣ,801,366,30,-51,396,2021-03-04T00:00:00,7248,7248,2591,9839
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,3486,789,270,4275,2021-03-04T00:00:00,97157,97157,41683,138840
ΓΡΕΒΕΝΩΝ,301,73,41,-5,114,2021-03-04T00:00:00,2118,2118,1105,3223
ΔΡΑΜΑΣ,101,203,62,-3,265,2021-03-04T00:00:00,5151,5151,2995,8146
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,354,6,-28,360,2021-03-04T00:00:00,5707,5707,2911,8618
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,850,556,-40,1406,2021-03-04T00:00:00,23963,23963,15963,39926
ΕΒΡΟΥ,102,384,68,-24,452,2021-03-04T00:00:00,9525,9525,5005,14530
ΕΥΒΟΙΑΣ,802,524,26,-58,550,2021-03-04T00:00:00,10727,10727,5621,16348
ΕΥΡΥΤΑΝΙΑΣ,803,41,2,-9,43,2021-03-04T00:00:00,1194,1194,643,1837
ΖΑΚΥΝΘΟΥ,601,83,1,-11,84,2021-03-04T00:00:00,1816,1816,1276,3092
ΗΛΕΙΑΣ,703,276,35,-47,311,2021-03-04T00:00:00,6398,6398,3586,9984
ΗΜΑΘΙΑΣ,201,303,68,6,371,2021-03-04T00:00:00,7450,7450,3952,11402
ΗΡΑΚΛΕΙΟΥ,1301,612,57,-65,669,2021-03-04T00:00:00,16229,16229,9003,25232
ΘΑΣΟΥ,103,0,0,-6,0,2021-03-04T00:00:00,440,440,417,857
ΘΕΣΠΡΩΤΙΑΣ,402,193,39,-20,232,2021-03-04T00:00:00,3530,3530,2128,5658
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,3049,809,-216,3858,2021-03-04T00:00:00,77655,77655,38950,116605
ΘΗΡΑΣ,1202,42,6,0,48,2021-03-04T00:00:00,538,538,331,869
ΙΘΑΚΗΣ,602,48,0,-12,48,2021-03-04T00:00:00,410,410,3,413
ΙΚΑΡΙΑΣ,1101,43,1,3,44,2021-03-04T00:00:00,1179,1179,663,1842
ΙΩΑΝΝΙΝΩΝ,403,338,124,-24,462,2021-03-04T00:00:00,12053,12053,7412,19465
ΚΑΒΑΛΑΣ,104,242,73,-1,315,2021-03-04T00:00:00,6452,6452,3985,10437
ΚΑΛΥΜΝΟΥ,1203,16,2,-6,18,2021-03-04T00:00:00,1109,1109,672,1781
ΚΑΡΔΙΤΣΑΣ,501,358,21,15,379,2021-03-04T00:00:00,8496,8496,3800,12296
ΚΑΡΠΑΘΟΥ,1204,24,0,0,24,2021-03-04T00:00:00,367,367,246,613
ΚΑΣΤΟΡΙΑΣ,302,170,34,-4,204,2021-03-04T00:00:00,3440,3440,1918,5358
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,6,6,6,2021-03-04T00:00:00,44,44,6,50
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,2969,1756,61,4725,2021-03-04T00:00:00,92603,92603,57219,149822
ΚΕΡΚΥΡΑΣ,603,290,33,17,323,2021-03-04T00:00:00,4955,4955,3017,7972
ΚΕΦΑΛΛΗΝΙΑΣ,604,134,6,-14,140,2021-03-04T00:00:00,2864,2864,1615,4479
ΚΙΛΚΙΣ,203,325,117,193,442,2021-03-04T00:00:00,5062,5062,2837,7899
ΚΟΖΑΝΗΣ,303,275,172,-9,447,2021-03-04T00:00:00,7851,7851,4094,11945
ΚΟΡΙΝΘΙΑΣ,1003,264,72,-4,336,2021-03-04T00:00:00,6236,6236,2803,9039
ΚΩ,1206,157,2,2,159,2021-03-04T00:00:00,2277,2277,915,3192
ΛΑΚΩΝΙΑΣ,1004,230,7,-25,237,2021-03-04T00:00:00,5649,5649,2763,8412
ΛΑΡΙΣΑΣ,502,364,170,9,534,2021-03-04T00:00:00,14333,14333,7202,21535
ΛΑΣΙΘΙΟΥ,1302,255,21,-61,276,2021-03-04T00:00:00,6010,6010,3881,9891
ΛΕΣΒΟΥ,1102,151,2,-44,153,2021-03-04T00:00:00,3819,3819,2548,6367
ΛΕΥΚΑΔΑΣ,605,99,6,-139,105,2021-03-04T00:00:00,2594,2594,1354,3948
ΛΗΜΝΟΥ,1103,43,5,0,48,2021-03-04T00:00:00,962,962,747,1709
ΜΑΓΝΗΣΙΑΣ,503,340,109,-61,449,2021-03-04T00:00:00,8454,8454,4161,12615
ΜΕΣΣΗΝΙΑΣ,1005,269,47,-36,316,2021-03-04T00:00:00,8272,8272,4778,13050
ΜΗΛΟΥ,1207,22,20,14,42,2021-03-04T00:00:00,325,325,224,549
ΜΥΚΟΝΟΥ,1208,0,0,0,0,2021-03-04T00:00:00,170,170,143,313
ΝΑΞΟΥ,1209,46,2,1,48,2021-03-04T00:00:00,618,618,424,1042
ΝΗΣΩΝ,906,87,33,-19,120,2021-03-04T00:00:00,2387,2387,1646,4033
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,629,302,-36,931,2021-03-04T00:00:00,16204,16204,7368,23572
ΞΑΝΘΗΣ,105,206,25,-6,231,2021-03-04T00:00:00,4248,4248,2275,6523
ΠΑΡΟΥ,1210,0,0,-6,0,2021-03-04T00:00:00,304,304,290,594
ΠΕΙΡΑΙΩΣ,908,1097,260,-57,1357,2021-03-04T00:00:00,25309,25309,14057,39366
ΠΕΛΛΑΣ,204,356,106,-23,462,2021-03-04T00:00:00,8298,8298,4836,13134
ΠΙΕΡΙΑΣ,205,187,100,6,287,2021-03-04T00:00:00,5388,5388,3578,8966
ΠΡΕΒΕΖΑΣ,404,168,5,-6,173,2021-03-04T00:00:00,3411,3411,1090,4501
ΡΕΘΥΜΝΟΥ,1303,279,13,-12,292,2021-03-04T00:00:00,5127,5127,2365,7492
ΡΟΔΟΠΗΣ,106,139,67,-10,206,2021-03-04T00:00:00,3889,3889,1901,5790
ΡΟΔΟΥ,1211,177,69,35,246,2021-03-04T00:00:00,4779,4779,2377,7156
ΣΑΜΟΥ,1104,71,2,-20,73,2021-03-04T00:00:00,1696,1696,871,2567
ΣΕΡΡΩΝ,206,301,88,-41,389,2021-03-04T00:00:00,8294,8294,3063,11357
ΣΠΟΡΑΔΩΝ,504,2,16,-42,18,2021-03-04T00:00:00,351,351,237,588
ΣΥΡΟΥ,1212,47,1,0,48,2021-03-04T00:00:00,1042,1042,849,1891
ΤΗΝΟΥ,1213,0,0,0,0,2021-03-04T00:00:00,314,314,279,593
ΤΡΙΚΑΛΩΝ,505,287,80,-22,367,2021-03-04T00:00:00,8400,8400,4202,12602
ΦΘΙΩΤΙΔΑΣ,804,263,55,-25,318,2021-03-04T00:00:00,6678,6678,3253,9931
ΦΛΩΡΙΝΑΣ,304,190,19,2,209,2021-03-04T00:00:00,3136,3136,1625,4761
ΦΩΚΙΔΑΣ,805,64,9,-11,73,2021-03-04T00:00:00,2013,2013,960,2973
ΧΑΛΚΙΔΙΚΗΣ,207,323,65,-21,388,2021-03-04T00:00:00,5841,5841,2304,8145
ΧΑΝΙΩΝ,1304,432,79,-31,511,2021-03-04T00:00:00,10494,10494,6549,17043
ΧΙΟΥ,1105,133,193,31,326,2021-03-04T00:00:00,3296,3296,1493,4789
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,331,122,-3,453,2021-03-05T00:00:00,8775,8775,3666,12441
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,854,147,52,1001,2021-03-05T00:00:00,17129,17129,9047,26176
ΑΝΔΡΟΥ,1201,0,0,0,0,2021-03-05T00:00:00,297,297,261,558
ΑΡΓΟΛΙΔΑΣ,1001,230,8,32,238,2021-03-05T00:00:00,5485,5485,2799,8284
ΑΡΚΑΔΙΑΣ,1002,199,19,30,218,2021-03-05T00:00:00,5437,5437,2732,8169
ΑΡΤΑΣ,401,134,21,14,155,2021-03-05T00:00:00,4410,4410,2909,7319
ΑΧΑΪΑΣ,702,553,29,-41,582,2021-03-05T00:00:00,15571,15571,9433,25004
